id,road_distance_nan,road_distance_living_street,road_distance_motorway,road_distance_primary,road_distance_residential,road_distance_secondary,road_distance_service,road_distance_tertiary,road_distance_trunk,road_distance_unclassified,road_count_nan,road_count_living_street,road_count_motorway,road_count_primary,road_count_residential,road_count_secondary,road_count_service,road_count_tertiary,road_count_trunk,road_count_unclassified
2d6185ced63d391baa793a65c84640fe,1000,1000.0,1000.0,164.0465342824208,20.550439132125568,1000.0,39.88400825401287,91.80862099356794,171.20198951080354,1000.0,0.0,0.0,0.0,6.0,66.0,0.0,36.0,12.0,9.0,0.0
2d62f3fde24377e18e676a9426c2c0c1,1000,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2de9e8848f95b6a071ca9fe0c6af49e2,1000,1000.0,96.27176288330156,1000.0,422.1746468263918,486.33596328670376,4.028065086787459,65.9532609310031,1000.0,14.203335528781729,0.0,0.0,13.0,0.0,1.0,1.0,88.0,42.0,0.0,8.0
2dfe1b4032aece3cf0029b1c6b97e8bd,1000,1000.0,1000.0,1000.0,50.140064533284445,243.85914058709892,8.782789745660034,20.12008545240009,1000.0,257.95712707441334,0.0,0.0,0.0,0.0,88.0,18.0,147.0,41.0,0.0,4.0
2e080f936a2af8210c947446bdbcc4e5,1000,1000.0,1000.0,98.63782827416912,43.92602224130352,277.8122723153975,3.983067717693382,1000.0,18.870951418358604,256.6806698153379,0.0,0.0,0.0,4.0,15.0,3.0,131.0,0.0,16.0,3.0
2e4e60cb3a2f9bff6d8abe7894a56a66,1000,1000.0,1000.0,1000.0,36.33559655806462,486.5867011161415,10.731092986481348,1000.0,465.455445960731,27.523631526654533,0.0,0.0,0.0,0.0,36.0,4.0,107.0,0.0,1.0,32.0
2ec6e6dbe0dce269efe33e4a4b0f2329,1000,1000.0,1000.0,1000.0,79.47430722583782,1000.0,51.7899224405632,1000.0,95.03630403231685,65.01639764875151,0.0,0.0,0.0,0.0,50.0,0.0,19.0,0.0,16.0,10.0
2ee817c86328a40f9a7dfbafd4088664,1000,1000.0,1000.0,1000.0,1000.0,1000.0,74.74972547299996,1000.0,1000.0,243.64008962100104,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0
2f55a40ddbbccd800edf71c1f907a4f6,1000,1000.0,62.126774508400224,185.34734848290591,358.21636518535627,85.49860736859047,5.683770209717453,1000.0,64.87214730445588,46.049283760642375,0.0,0.0,10.0,16.0,1.0,7.0,38.0,0.0,20.0,7.0
2fb933bfb56b5252dc3db489f0392d75,1000,202.53131055471985,1000.0,1000.0,25.567641399932278,1000.0,0.8368761903413038,24.22484303374979,1000.0,25.12975024203061,0.0,13.0,0.0,0.0,70.0,0.0,74.0,19.0,0.0,3.0
2fbb381d7a2d262879d6f63ef5913811,1000,1000.0,1000.0,1000.0,125.67704601789664,1000.0,15.27888962722222,71.66371281362409,80.61462941629361,499.4773496505688,0.0,0.0,0.0,0.0,12.0,0.0,10.0,3.0,3.0,1.0
30297b4c8d99087fd69a574d24ee793d,1000,1000.0,57.327233314003415,1000.0,62.878514746008754,93.38745771316775,13.995079420803894,55.33366785769172,1000.0,468.1559048449524,0.0,0.0,17.0,0.0,39.0,7.0,99.0,34.0,0.0,1.0
304110fa066085568ff02a552b1ea666,1000,1000.0,1000.0,184.21737116710327,12.851103335133873,195.92560301897387,11.299140906348429,15.812234815689663,82.77420014810907,129.98043049289126,0.0,0.0,0.0,8.0,45.0,10.0,92.0,9.0,35.0,21.0
305dea55df013754551a22704004df5a,1000,219.95280848986616,1000.0,26.895689210723745,104.043357004466,1000.0,5.683842014012908,17.164428195396553,1000.0,94.38411450396505,0.0,18.0,0.0,37.0,66.0,0.0,198.0,56.0,0.0,29.0
305fa1031cc7f486d4588d785aa53b0b,1000,1000.0,1000.0,97.45250811570968,69.753736829768,1000.0,184.12924995988,328.3257449044327,1000.0,10.154860448754492,0.0,0.0,0.0,5.0,2.0,0.0,7.0,1.0,0.0,18.0
30944862aff35cb61786aebe2e3927a6,1000,1000.0,1000.0,1000.0,1000.0,424.3028182023888,8.328541800163134,1000.0,55.23196076037134,1000.0,0.0,0.0,0.0,0.0,0.0,6.0,19.0,0.0,8.0,0.0
