id,size_total,active_days_count,percentage_average,average_daily_minutes,capacity_kw,station_name,country_name,calendar_day_count,geometry,living_street_dist,motorway_dist,primary_dist,residential_dist,secondary_dist,road_service_dist,tertiary_dist,trunk_dist,unclassified_dist,road_count_living_street,motorway_count,primary_count,road_count_residential,secondary_count,road_service_count,tertiary_count,trunk_count,unclassified_count,operator,accommodation_count,activities_count,beauty_count,cafe_and_restaurant_count,clothing_count,electronics_count,food_count,supermarket_count,hobby_count,home_count,medical_count,public_service_count,service_count,shopping_center_count,religious_count,accommodation_dist,activities_dist,beauty_dist,cafe_and_restaurant_dist,clothing_dist,electronics_dist,food_dist,grocery_dist,hobby_dist,home_dist,medical_dist,public_service_dist,service_dist,shopping_center_dist,religious_dist,occupation_rate,population,total_time_spent,lng,lat,good_feature_score,score_performance,occupation_rank
1b85e132e66c3669d3caa4e03d7b3b31,10,131,0.463104976141786,6.66871165644172,150,Recharge Shell Roa,Norway,163,POINT (10.62843 60.28704),1000,1000,1000,69.38,7.08,2.92,282.95,59.04,101.62,0,0,0,2,18,46,2,9,2,Recharge,0,0,0,1,0,0,0,2,1,0,1,1,6,0,0,1000,1000,1000,19.7,1000,1000,1000,180.94,140.85,1000,146.39,387.91,12.48,1000,1000,"(0.0, 3.115]",1.96,217.5,10.62843,60.28704,2.8,1254,10
a7958f8a9a14c77f6803c53b86360777,10,104,0.460570469798658,6.63221476510067,150,Recharge Esso Sandmoen,Norway,149,POINT (10.35637 63.33245),1000,27.9,118.41,179.35,365.42,9.6,127.83,1000,52.94,0,17,44,9,4,62,9,0,12,Recharge,1,2,0,2,0,0,0,3,0,1,0,2,9,0,0,120.7,401.84,1000,110.64,1000,1000,1000,251.12,1000,362.36,1000,216.79,22.72,1000,1000,"(0.0, 3.115]",1.96,367.5,10.35637,63.33245,2.4,1255,10
62a6f05ace436c2291e2942607f29925,40,284,0.457418608124253,6.58682795698925,400,Recharge IKEA Aarhus,Denmark,372,POINT (10.18085 56.20427),1000,1000,1000,397,178.63,8.67,156.88,1000,58.45,0,0,0,7,19,92,24,0,32,Recharge,0,3,0,2,3,0,0,1,2,7,0,1,7,0,0,1000,112.88,1000,97.19,239.99,1000,1000,484.96,123.99,49.9,1000,488.39,86.07,1000,1000,"(0.0, 3.115]",388.73,317.5,10.18085,56.20427,3,1256,10
99dc63a9141d0f7321160700844dcc9d,7,297,0.455198617247586,6.55486008836524,150,Sandberggården Skreia,Norway,388,POINT (10.93358 60.65382),1000,1000,18.55,7.14,177.72,8.5,207.11,1000,210.12,0,0,10,24,2,48,6,0,4,Kople AS,0,9,0,2,1,1,0,4,1,3,0,3,8,1,1,1000,87.82,1000,153.88,282.6,330.4,1000,23.69,276.03,189.16,1000,101.89,36.34,44.46,425.04,"(0.0, 3.115]",1.96,497.5,10.93358,60.65382,4.2,1257,10
c90a9fc12253c69e4239f0a675578e22,7,112,0.454881495977387,6.55029354207437,200,Vadmyra og Vestre Hurtigladere,Norway,365,POINT (5.22625 60.36241),347.64,1000,473.62,41.61,108.35,0.56,307.77,1000,346.89,8,0,8,25,16,146,3,0,1,Eviny,0,14,5,8,9,2,6,8,6,4,4,5,17,3,1,1000,110.32,373.13,387.54,387.02,419.53,415.68,44.68,408.27,371.68,387.72,145.36,80.95,387.61,462.17,"(0.0, 3.115]",3.99,632.5,5.22625,60.36241,5.4,1258,10
aac39bb0900d3e5efd24aa2f4e49002c,7,265,0.45286696328363,6.52128427128427,300,Recharge McDonalds Mölndal,Sweden,396,POINT (11.98261 57.64596),1000,1000,1000,414.48,180.99,2.34,14.72,103.09,96.3,0,0,0,3,30,82,6,10,22,Recharge,0,0,1,6,1,0,1,0,0,1,0,0,12,0,0,1000,1000,319.51,63.91,271.87,1000,416.84,1000,1000,437.48,1000,1000,109.47,1000,1000,"(0.0, 3.115]",7.58,242.5,11.98261,57.64596,3,1259,10
fa382041013c8433bb71da6012f4090d,17,325,0.449129778173896,6.4674688057041,135,Nes i Ådal Kro og YX,Norway,396,POINT (9.9967 60.56224),1000,1000,496.76,1000,1000,4.76,130.98,18.39,440.66,0,0,1,0,0,32,3,5,3,Kople AS,0,0,0,1,0,0,0,2,0,0,0,0,4,0,0,1000,1000,1000,10.42,1000,1000,1000,31.09,1000,1000,1000,1000,23.98,1000,1000,"(0.0, 3.115]",1.96,97.5,9.9967,60.56224,2.2,1260,10
0067529de62b93c749dfd2883793551b,8,284,0.448685829817159,6.46107594936709,150,Recharge Neste Ruukki Revonlahti,Finland,395,POINT (24.97691 64.71962),1000,1000,1000,72.49,1000,76.23,273.72,8.89,75.19,0,0,0,2,0,5,2,3,1,Recharge,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1000,1000,1000,35,1000,1000,1000,1000,1000,1000,1000,1000,60.45,1000,1000,"(0.0, 3.115]",1.03,97.5,24.97691,64.71962,1.4,1261,10
748cb533bf542b63e4d6d17bf9a61e49,13,199,0.447305220032493,6.4411951684679,200,Nordfjord Sykehus,Norway,242,POINT (5.98004 61.91596),1000,1000,1000,22.75,1000,10.57,1000,332.09,375.27,0,0,0,47,0,65,0,10,3,Eviny,1,5,0,2,0,1,0,0,0,2,0,2,5,0,0,316.31,304.7,1000,479.75,1000,428.56,1000,1000,1000,292.93,1000,190.62,219.97,1000,1000,"(0.0, 3.115]",3.51,397.5,5.98004,61.91596,2,1262,10
bc019b89eb98132cb8e86e1043b959fc,12,192,0.445420195980734,6.41405082212257,150,Kople Kallerud vest Rv4 Gjøvik,Norway,223,POINT (10.66668 60.78744),1000,1000,1000,246.58,53.57,1.71,1000,41.77,39.14,0,0,0,28,44,103,0,9,14,Kople AS,0,6,0,0,0,3,0,1,4,7,0,1,14,0,0,1000,300.41,1000,1000,1000,65.71,1000,96.39,228.43,74.6,1000,346.64,35.97,1000,1000,"(0.0, 3.115]",1.96,240,10.66668,60.78744,3.6,1263,10
