id,size_total,start_day,end_day,calendar_day_count_x,active_days_count,percentage_average,average_daily_minutes,operator,capacity_kw,address,title,country_name,calendar_day_count_y,geometry,road_distance_nan,road_distance_living_street,road_distance_primary,road_distance_residential,road_distance_secondary,road_distance_service,road_distance_tertiary,road_distance_trunk,road_distance_unclassified,road_distance_motorway,road_count_nan,road_count_living_street,road_count_primary,road_count_residential,road_count_secondary,road_count_service,road_count_tertiary,road_count_trunk,road_count_unclassified,road_count_motorway
84a696b102c8238ed6f6a0519294892a,2,2024-09-01,2025-08-31,365,336,9.721556316590563,139.9904109589041,Mer,50.0,Strandgata 12 8400 SORTLAND,Skibsgården Senter,Norway,365,POINT(15.41829 68.69556),1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0,0,0,0,0,0,0,0,0,0.0
2aa9415f4a702f9e10823ca808633b79,1,2024-09-01,2025-08-31,365,301,9.714944824961947,139.89520547945204,Recharge,225.0,Teglverkveien 1 8006 BODØ,Recharge Esso Rønvik,Norway,365,POINT(14.40705 67.29354),1000.0,1000.0,211.8486952081509,213.03510003964428,1000.0,25.210756796180267,18.400155364726587,1000.0,89.64148800637655,1000.0,0,0,17,50,0,121,11,0,3,0.0
02f8f5166b240ad19dcad7453b8f2668,1,2024-09-01,2025-08-31,365,338,9.588660578386607,138.07671232876712,Kople As,175.0,Løkvollveien 5 9144 SAMUELSBERG,Ishavsveien - Manndalen,Norway,365,POINT(20.5506 69.54169),1000.0,1000.0,1000.0,41.67771873025999,25.55865027632293,19.240085988608094,1000.0,69.34426238304302,38.89112309550505,1000.0,0,0,0,11,12,20,0,12,5,0.0
f789526ac445984e3c8135c1d17423ef,7,2024-09-01,2025-08-31,365,343,9.471841704718416,136.3945205479452,Mer,150.0,Bolagsgata 1 8514 NARVIK,Amfi Narvik Malmporten,Norway,365,POINT(17.42155 68.43795),1000.0,1000.0,1000.0,159.2160237199404,1000.0,4.537911679528121,95.86162632804616,204.1869484690636,112.02987757659507,1000.0,0,0,0,85,0,102,49,25,10,0.0
bbc97c4ba71332f2ffab1251e50155d3,4,2024-09-01,2025-08-31,365,309,9.409579528158295,135.49794520547945,Recharge,400.0,Nordmoveien 17 8530 BJERKVIK,St1 Bjerkvik,Norway,365,POINT(17.55747 68.55121),1000.0,1000.0,1000.0,23.135726885864226,192.14118620644214,13.976712237245074,1000.0,27.874570891421577,239.2402848083414,1000.0,0,0,0,37,5,29,0,18,3,0.0
a93a2e90f0c1e498c030ae4548c1fe8f,1,2025-05-12,2025-08-31,112,38,9.283234126984125,133.67857142857142,Kople As,75.0,Sandnes 10 8230 SULITJELMA,PWR UP - Sulitjelma,Norway,112,POINT(16.07045 67.13385),,,,,,,,,,,,,,,,,,,,
4ad0525fd4c60cd6639d7b0675f4e8d0,2,2024-12-21,2025-08-31,254,236,9.056485126859142,130.41338582677164,Kople As,180.0,Tjeldsundbrua 214 9440 EVENSKJER,Kople Tjeldsundbrua Hotel,Norway,254,POINT(16.59048 68.62511),1000.0,1000.0,78.0584484312843,431.2067442888529,1000.0,2.7099020025711695,1000.0,15.991818715086863,1000.0,1000.0,0,0,6,1,0,20,0,7,0,0.0
9b480c73cc2a5e9b705485e4c7a6697d,4,2024-09-01,2025-08-31,365,293,9.000570776255707,129.60821917808218,Recharge,200.0,Verkstedveien 3 8624 MO I RANA,Recharge Esso Langneset,Norway,365,POINT(14.13423 66.3045),1000.0,1000.0,1000.0,93.50338586844852,1000.0,8.27322647148762,110.44223051135636,62.83805639824648,54.276942323552746,1000.0,0,0,0,56,0,61,16,32,12,0.0
a8330b99e2c0817b68b70398ca21ea4b,6,2024-10-13,2025-08-31,323,189,8.720616901731454,125.5768833849329,Eviny,100.0,Lofotgata 33 8300 SVOLVÆR,Alti Svolvær,Norway,323,POINT(14.55993 68.23444),1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0,0,0,0,0,0,0,0,0,0.0
01716bdeedb37b1c6f03492ffb19b51f,4,2024-09-01,2025-08-31,365,343,8.618483637747337,124.10616438356165,Kople As,300.0,Sjøbergsgate  8800 SANDNESSJØEN,LAD OPP - Kulturbadet Sandnessjøen,Norway,365,POINT(12.63804 66.0225),1000.0,1000.0,102.1239755361387,45.78073832389778,1000.0,10.983635245574401,25.964961863565005,1000.0,272.3570445356418,1000.0,0,0,16,37,0,33,6,0,3,0.0
