id,size_total,start_day,end_day,calendar_day_count_x,active_days_count,percentage_average,average_daily_minutes,operator,capacity_kw,address,title,country_name,calendar_day_count_y,geometry,accommodation_count,activities_count,beauty_count,cafe_and_restaurant_count,clothing_count,electronics_count,food_count,grocery_count,hobby_count,home_count,medical_count,public_service_count,service_count,shopping_center_count,religious_count,accommodation_dist,activities_dist,beauty_dist,cafe_and_restaurant_dist,clothing_dist,electronics_dist,food_dist,grocery_dist,hobby_dist,home_dist,medical_dist,public_service_dist,service_dist,shopping_center_dist,religious_dist
7c6e05e11c28e57d149dd5655d5356b7,1,2024-09-01,2025-08-31,365,325,9.807458143074582,141.22739726027396,Eviny,100.0,Idrettsgata 61 8370 LEKNES,Rema 1000 Leknes,Norway,365,POINT(13.62055 68.14511),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
f9c127088677b3ae7f4d795447075d35,1,2024-09-01,2025-08-31,365,333,9.739726027397262,140.25205479452055,Eviny,100.0,Industriveien 7 8480 ANDENES,Rema 1000 Andenes,Norway,365,POINT(16.10047 69.30986),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
e044abcbac71dd92fc7e8ecc4ed07f93,2,2025-02-27,2025-08-31,186,175,9.73902329749104,140.24193548387098,Eviny,75.0,Lofotgata 33 8300 SVOLVÆR,Alti Svolvær,Norway,186,POINT(14.55993 68.23444),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
84a696b102c8238ed6f6a0519294892a,2,2024-09-01,2025-08-31,365,336,9.721556316590563,139.9904109589041,Mer,50.0,Strandgata 12 8400 SORTLAND,Skibsgården Senter,Norway,365,POINT(15.41829 68.69556),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
2aa9415f4a702f9e10823ca808633b79,1,2024-09-01,2025-08-31,365,301,9.714944824961947,139.89520547945204,Recharge,225.0,Teglverkveien 1 8006 BODØ,Recharge Esso Rønvik,Norway,365,POINT(14.40705 67.29354),0.0,6.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,4.0,0.0,4.0,13.0,0.0,1.0,1000.0,216.08905757619706,1000.0,343.07187037433636,1000.0,1000.0,1000.0,195.61996155854337,234.59614551740793,327.45407319440443,1000.0,210.7652760892831,43.82459352771012,1000.0,417.2912069253585
02f8f5166b240ad19dcad7453b8f2668,1,2024-09-01,2025-08-31,365,338,9.588660578386607,138.07671232876712,Kople As,175.0,Løkvollveien 5 9144 SAMUELSBERG,Ishavsveien - Manndalen,Norway,365,POINT(20.5506 69.54169),2.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,163.579349612026,413.20753621019253,1000.0,1000.0,1000.0,1000.0,1000.0,110.2829121573219,64.57201803684428,1000.0,1000.0,182.73463715179045,23.939090560955506,1000.0,1000.0
f789526ac445984e3c8135c1d17423ef,7,2024-09-01,2025-08-31,365,343,9.471841704718416,136.3945205479452,Mer,150.0,Bolagsgata 1 8514 NARVIK,Amfi Narvik Malmporten,Norway,365,POINT(17.42155 68.43795),4.0,28.0,3.0,22.0,11.0,4.0,4.0,9.0,13.0,12.0,4.0,29.0,55.0,1.0,2.0,214.19966284648913,60.8409213611113,97.27929608061775,98.88237133997924,57.680157902206105,103.92764473696754,55.70140267138824,93.84216954198851,55.42753340699014,34.681121400660956,56.44513103556724,150.826982599658,94.4987647714567,63.49626130095447,365.492179894852
bbc97c4ba71332f2ffab1251e50155d3,4,2024-09-01,2025-08-31,365,309,9.409579528158295,135.49794520547945,Recharge,400.0,Nordmoveien 17 8530 BJERKVIK,St1 Bjerkvik,Norway,365,POINT(17.55747 68.55121),2.0,3.0,0.0,5.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0,7.0,8.0,0.0,1.0,176.8099503684819,155.27772612074287,1000.0,133.20309447060774,156.93629180372128,1000.0,459.8187545228631,54.54134594309225,1000.0,60.023053627355885,1000.0,155.65408116648996,14.964912002951568,1000.0,334.77851559310966
a93a2e90f0c1e498c030ae4548c1fe8f,1,2025-05-12,2025-08-31,112,38,9.283234126984125,133.67857142857142,Kople As,75.0,Sandnes 10 8230 SULITJELMA,PWR UP - Sulitjelma,Norway,112,POINT(16.07045 67.13385),0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1000.0,134.1201600576498,1000.0,1000.0,1000.0,1000.0,1000.0,47.395162183097284,1000.0,1000.0,1000.0,63.734063904097724,1000.0,1000.0,1000.0
4ad0525fd4c60cd6639d7b0675f4e8d0,2,2024-12-21,2025-08-31,254,236,9.056485126859142,130.41338582677164,Kople As,180.0,Tjeldsundbrua 214 9440 EVENSKJER,Kople Tjeldsundbrua Hotel,Norway,254,POINT(16.59048 68.62511),1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,23.606943479880552,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,41.0979980394492,1000.0,1000.0
